No,1,2,3,4,5,6,7,8,9,10,Skor,FI,,,,,
1,1,1,2,1,2,2,1,1,2,1,14,1,,,,,
2,1,2,2,1,1,1,1,2,2,1,14,1,,,,,
3,1,2,2,1,2,2,1,1,1,1,14,1,,,,,
4,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
5,2,2,2,1,1,1,1,1,2,1,14,1,,,,,
6,1,1,1,1,2,2,2,2,2,2,16,2,,,,,
7,1,1,2,2,1,2,2,2,2,2,17,2,,,,,
8,1,1,1,2,1,2,1,2,1,1,13,1,,,,,
9,1,2,2,1,2,2,2,2,2,2,18,2,,,,,
10,1,1,2,2,2,2,2,2,2,2,18,2,,,,,
11,1,1,1,1,1,1,1,1,1,1,10,1,,,,,
12,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
13,1,1,1,1,1,1,1,1,1,1,10,1,,,,,
14,1,1,1,1,1,1,1,1,1,1,10,1,,,,,
15,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
16,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
17,1,1,2,1,2,1,1,1,1,1,12,1,,,,,
18,1,1,1,1,1,1,1,1,1,1,10,1,,,,,
19,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
20,1,1,1,1,1,2,1,1,1,2,12,1,,,,,
21,1,1,2,2,2,2,1,1,1,1,14,1,,,,,
22,2,1,2,1,2,2,2,2,2,2,18,2,,,,,
23,1,1,1,1,1,2,1,2,2,1,13,1,,,,,
24,1,1,2,1,1,1,1,1,2,1,12,1,,,,,
25,2,1,1,1,2,2,1,2,2,2,16,2,,,,,
26,1,1,2,2,2,2,2,2,2,2,18,2,,,,,
27,1,1,2,1,2,2,1,1,2,1,14,1,,,,,
28,1,1,2,1,2,2,1,2,2,2,16,2,,,,,
29,2,2,2,1,2,2,2,2,2,1,18,2,,,,,
30,1,1,1,1,2,2,1,1,1,1,12,1,,,,,
31,1,1,2,2,2,2,2,2,2,2,18,2,,,,,
32,2,1,2,1,2,2,2,2,1,2,17,2,,,,,
33,1,1,2,1,2,2,1,2,2,2,16,2,,,,,
34,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
35,1,1,1,1,1,1,1,1,1,1,10,1,,,,,
36,1,2,2,2,2,2,2,2,2,1,18,2,,,,,
37,2,1,2,1,2,2,2,2,2,2,18,2,,,,,
38,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
39,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
40,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
41,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
42,2,2,2,1,2,2,2,2,2,2,19,2,,,,,
43,2,2,2,2,2,2,1,2,1,2,18,2,,,,,
44,2,1,1,2,2,2,2,2,2,2,18,2,,,,,
45,1,1,2,2,1,2,2,2,2,2,17,2,,,,,
46,1,1,1,1,1,1,1,2,1,1,11,1,,,,,
47,1,2,1,1,2,2,2,2,2,2,17,2,,,,,
48,2,2,2,1,2,2,2,2,2,2,19,2,,,,,
49,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
50,2,2,2,2,2,1,2,2,1,1,17,2,,,,,
51,2,1,2,2,2,2,2,2,2,2,19,2,,,,,
52,2,2,2,1,1,2,2,2,2,2,18,2,,,,,
53,1,1,2,2,2,2,2,2,2,2,18,2,,,,,
54,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
55,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
56,1,1,1,1,2,2,1,1,2,2,14,1,,,,,
57,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
58,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
59,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
60,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
61,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
62,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
63,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
64,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
65,2,1,2,2,2,2,2,2,2,2,19,2,,,,,
66,2,1,2,2,2,2,2,2,2,2,19,2,,,,,
67,2,2,1,2,2,2,2,2,2,2,19,2,,,,,
68,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
69,2,2,2,2,2,1,2,2,2,2,19,2,,,,,
70,1,2,2,2,2,2,2,2,2,2,19,2,,,,,
71,1,1,2,2,2,2,2,2,2,2,18,2,,,,,
72,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
73,1,2,2,2,2,2,2,2,2,2,19,2,,,,,
74,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
75,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
76,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
77,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
78,2,1,2,2,2,2,2,2,2,2,19,2,,,,,
79,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
80,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
81,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
82,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
83,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
84,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
85,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
86,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
87,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
88,1,1,2,1,1,1,2,2,2,1,14,1,,,,,
89,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
90,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
91,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
92,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
93,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
94,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
95,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
96,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
97,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
98,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
99,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
100,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
101,1,1,1,1,1,1,1,2,2,1,12,1,,,,,
102,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
103,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
104,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
105,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
106,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
107,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
108,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
109,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
110,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
111,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
112,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
113,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
114,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
115,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
116,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
117,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
118,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
119,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
120,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
121,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
122,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
123,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
124,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
125,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
126,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
127,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
128,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
129,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
130,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
131,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
132,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
133,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
134,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
135,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
136,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
137,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
138,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
139,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
140,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
141,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
142,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
143,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
144,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
145,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
146,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
147,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
148,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
149,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
150,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
151,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
152,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
153,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
154,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
155,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
156,2,2,1,2,2,2,2,2,2,2,19,2,,,,,
157,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
158,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
159,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
160,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
161,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
162,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
163,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
164,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
165,2,1,1,1,1,1,1,2,2,1,13,1,,,,,
166,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
167,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
168,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
169,2,1,1,1,2,1,1,1,1,1,12,1,,,,,
170,1,1,2,1,1,1,1,2,2,1,13,1,,,,,
171,1,1,2,2,2,2,2,2,2,2,18,2,,,,,
172,1,1,1,1,1,1,1,1,2,1,11,1,,,,,
173,1,1,2,1,1,1,1,2,2,1,13,1,,,,,
174,1,2,2,2,2,2,2,2,2,2,19,2,,,,,
175,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
176,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
177,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
178,1,2,2,2,2,2,2,2,2,2,19,2,,,,,
179,1,1,1,1,1,1,1,1,2,1,11,1,,,,,
180,1,1,1,1,1,1,1,1,2,1,11,1,,,,,
181,1,1,1,1,1,1,1,1,2,1,11,1,,,,,
182,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
183,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
184,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
185,1,1,1,1,1,1,1,1,2,1,11,1,,,,,
186,1,1,1,1,1,1,1,2,2,1,12,1,,,,,
187,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
188,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
189,1,1,1,1,1,1,1,2,2,1,12,1,,,,,
190,1,1,1,1,1,2,1,2,2,1,13,1,,,,,
191,1,1,1,1,1,1,1,2,2,1,12,1,,,,,
192,1,1,1,1,1,1,1,1,2,1,11,1,,,,,
193,1,1,1,1,1,1,1,2,2,1,12,1,,,,,
194,1,1,1,1,1,1,1,2,2,1,12,1,,,,,
195,1,1,1,1,1,1,1,1,2,1,11,1,,,,,
